,article doi,product,product concentration (g/L),substrate,substrate concentration (g/L),media,time (h),mode of bioreactor operation,strain name,parent strain,knocked out genes,overexpressed native genes,heterologous genes,Promotor,genome integration Y/N,codon optimized,culture volume,culture vessel,media,nitrogen condition,oxygen condition,time (h),pH,temperature,Direct evolution Y/N,
,------------------------------,------------,------------------------------,--------------------------,--------------------------------,------------------------------------------,----------,----------------------------------------------------------------,--------------------------------,---------------,-------------------,----------------------------,--------------------,----------,------------------------,-----------------,----------------,-----------------------------------,------------------------------------------,---------------------,------------------------------------,----------,-----,-------------,----------------------,
,10.1007/s00449-017-1823-x,Bioethanol,39.84,Raw sugar beet cossettes,145.95,Raw sugar beet juice + 1 g/L NH4H2PO4,161,Continuous rotation at 5 min^-1,Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Sufficient oxygen,161,4.35,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,31.03,Raw sugar beet cossettes,155.36,Raw sugar beet juice + 1 g/L NH4H2PO4,167,Continuous rotation at 10 min^-1,Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Sufficient oxygen,167,4.35,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,37.00,Raw sugar beet cossettes,139.13,Raw sugar beet juice + 1 g/L NH4H2PO4,189,Continuous rotation at 15 min^-1,Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Sufficient oxygen,189,4.35,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,60.78,Raw sugar beet cossettes,173.00,Raw sugar beet juice + 1 g/L NH4H2PO4,172,"Interval rotation 3 min h^-1, rotation speed 5 min^-1",Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Limited oxygen,172,4.35,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,50.78,Raw sugar beet cossettes,174.50,Raw sugar beet juice + 1 g/L NH4H2PO4,174.50,"Interval rotation 6 min h^-1, rotation speed 5 min^-1",Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Limited oxygen,174.50,3.78,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,45.99,Raw sugar beet cossettes,175.00,Raw sugar beet juice + 1 g/L NH4H2PO4,175,"Interval rotation 9 min h^-1, rotation speed 5 min^-1",Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Limited oxygen,175,4.35,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,57.29,Raw sugar beet cossettes,174.50,Raw sugar beet juice + 1 g/L NH4H2PO4,174.50,"Interval rotation 12 min h^-1, rotation speed 5 min^-1",Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Limited oxygen,174.50,4.35,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,38.05,Raw sugar beet cossettes,176.50,Raw sugar beet juice + 1 g/L NH4H2PO4,176.50,"Interval rotation 15 min h^-1, rotation speed 5 min^-1",Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Limited oxygen,176.50,3.78,28°C,NA,
,10.1007/s00449-017-1823-x,Bioethanol,65.14,Raw sugar beet cossettes,118.00,Raw sugar beet juice + 1 g/L NH4H2PO4,118,"Interval rotation 3 min h^-1, rotation speed 10 min^-1",Saccharomyces cerevisiae YSLZ-01,NA,NA,NA,NA,NA,NA,NA,30 L,Horizontal rotating tubular bioreactor,Raw sugar beet juice + 1 g/L NH4H2PO4,Sufficient,Limited oxygen,118,4.35,28°C,NA,
