,article doi,product,product concentration,substrate,substrate concentration,media,time,mode of bioreactor operation,strain name,parent strain,knocked out genes,overexpressed native genes,heterologous genes,Promotor,genome integration Y/N,codon optimized,culture volume,culture vessel,media,nitrogen condition,oxygen condition,pH,temperature,Direct evolution Y/N,
,--------------------------,------------------,---------------------------------------,---------------------------,-----------------------------,------------------------,---------------,-----------------------------------------------------------,-------------,---------------,-------------------,----------------------------,--------------------,----------,------------------------,-----------------,--------------------------------------------------,----------------------------------------------------,-----------------------,--------------------,-------------------,---------,------------------,----------------------,
,10.1007/s10295-013-1251-0,Sherry base wine,"13.4% ethanol, 0.9 g/l sugar, 0.26 g/l volatile acidity","Palomino ""Fino"" grape must",BAUME 10.5-14 (178.5-238 g/l fermentable sugar),"Industrial musts, YPD",Varies (laboratory to industrial scale),"Laboratory-scale, Pilot-scale, Industrial-scale fermentations",J4,NA,NA,NA,NA,NA,NA,NA,"10 ml (lab), 25,000 l (pilot), 30,000-38,500 l (industrial)","Shake flask, Stainless-steel vats, Microplates","YPD, Industrial musts",NA,NA,3.2-3.4,25-34°C,N,
,10.1007/s10295-013-1251-0,Sherry base wine,12.17%-13.4% ethanol,"Palomino ""Fino"" grape must",NA,YPD,Fermentation duration,Lab-scale fermentations,"C1, C2",NA,NA,NA,NA,NA,NA,NA,"10-300 ml (lab), 150 ml, 150-950,000 l (industrial)","Shake flask, Microplates, Industrial vats","YPD, Must",Sufficient,Limited,3.1-3.8,25-34°C,N,
,10.1007/s10295-013-1251-0,Sherry base wine,12.18%-13.4% ethanol,"Palomino ""Fino"" grape must",NA,"YPD, Industrial musts",24-48 hours,"Fermentation assays, SO2 tolerance tests, Desiccation tests","J4, J5",NA,NA,NA,NA,NA,NA,NA,"10 ml, 50 ml, 150 ml, 250 ml, 300 ml (various assays)","Shake flask, Microplates, Stainless-steel vats","YPD, Must",Sufficient,Limited,3.1-3.8,25-34°C,N,
,10.1007/s10295-013-1251-0,Sherry base wine,NA,"Palomino ""Fino"" grape must",NA,Must with SO2,24 hours,SO2 tolerance assays,"J4, J5, C1, C2",NA,NA,NA,NA,NA,NA,NA,"96-well microplates, 150 ml","Microplates, Shake flask",Must with SO2,NA,NA,3.2-3.4,27-34°C,N,
,10.1007/s10295-013-1251-0,Sherry base wine,NA,"Palomino ""Fino"" grape must",NA,Must,18 months,"Biological aging under ""flor"" yeasts","J4, J5",NA,NA,NA,NA,NA,NA,NA,15 arrobas per butt (mixed wine),Butts,Must with flor velum,NA,NA,NA,NA,N,
**Notes:**
"- **Parent Strain, Knocked Out Genes, Overexpressed Native Genes, Heterologous Genes, Promotor, Genome Integration, Codon Optimized:** Not applicable or not reported (NA) as the strains are indigenous and not genetically modified."
"- **Nitrogen Condition, Oxygen Condition:** Not specified (NA)."
- **Time:** Varies based on experimental setup; specific durations provided where available.
"- **Direct Evolution:** No (N) as the strains were selected through isolation and characterization, not directed evolution."
