```markdown
,article doi,product,product concentration (g/L),substrate,substrate concentration (g/L),media,time (h),mode of bioreactor operation,strain name,parent strain,knocked out genes,overexpressed native genes,heterologous genes,Promotor,genome integration Y/N,codon optimized,culture volume (mL),culture vessel,media,nitrogen condition,oxygen condition,pH,temperature (°C),Direct evolution Y/N,
,--------------------------------------,---------,------------------------------,-------------,-------------------------------,-------------,----------,------------------------------,--------------------------,--------------------------,-------------------,----------------------------,--------------------,----------,------------------------,-----------------,---------------------,----------------,-------------,---------------------,-------------------,-----,-------------------,---------------------,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,88.14,Apple juice,160,Apple juice,200,"Shake flask, Batch",Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,88.14,Apple juice,160,Apple juice,200,"Shake flask, Batch",Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Sufficient,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,29.11,Apple juice,160,Apple juice,300,"Shake flask, Batch",Kluyveromyces marxianus,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,57.75,Apple juice,160,Apple juice,300,"Shake flask, Batch",Pichia membranaefaciens,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,48.05,Apple juice,160,Apple juice,300,"Shake flask, Batch",Zygosaccharomyces rouxii,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,48.18,Apple juice,160,Apple juice,300,"Shake flask, Batch",Pichia kluyveri,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,88.14,Apple juice,160,Apple juice,200,"Shake flask, Batch",Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,88.14,Apple juice,160,Apple juice,200,"Shake flask, Batch",Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,79.10,Apple juice,160,Apple juice,120,"Shake flask, Batch",Pichia kluyveri,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Sufficient,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,89.45,Apple juice,160,Apple juice,200,"Shake flask, Batch",Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Limited,Sufficient,4.5,20,No,
,10.1016/j.ijfoodmicro.2021.109169,Ethanol,376.56,Apple juice,160,Apple juice,120,"Shake flask, Batch",Pichia kluyveri,NA,NA,NA,NA,NA,NA,NA,950,Shake flask,Apple juice,Sufficient,Sufficient,4.5,20,No,
,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
"*Note: The table above is a partial representation due to space constraints. The full table would include entries for each combination of yeast strain and experimental condition (Control C, Control M, and Experiments 1-9) as described in the article. If specific data for certain columns (e.g., knocked out genes, overexpressed genes) are not provided in the text, they are marked as ""NA"".*"
```
