,article doi,product,product concentration (g/L),substrate,substrate concentration (g/L),media,time (h),mode of bioreactor operation,strain name,parent strain,knocked out genes,overexpressed native genes,heterologous genes,Promotor,genome integration Y/N,codon optimized,culture volume (mL),culture vessel,media,nitrogen condition,oxygen condition,pH,temperature (°C),Direct evolution Y/N,expressed and knockout genes in the parent strain,
,--------------------------------,---------,------------------------------,------------------,-------------------------------,-------------------------------------------------,----------,------------------------------,-------------------------,--------------------------,-------------------,----------------------------,---------------------,----------,------------------------,-----------------,---------------------,----------------,----------------------------------,---------------------,-------------------,------,------------------,----------------------,-----------------------------------------------------,
,10.1080/09593330.2016.1235230,Ethanol,13.8,Unbleached Pulp,25,YM + 0.05 M citrate buffer + supplements,30,Batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,20.8,Unbleached Pulp,50,YM + 0.05 M citrate buffer + supplements,24,Batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,9.0,Primary Sludge,25,YM + 0.05 M citrate buffer + supplements,30,Batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,22.7,Primary Sludge,50,YM + 0.05 M citrate buffer + supplements,24,Batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,10.5,Unbleached Pulp,25,YM + 0.05 M citrate buffer + supplements,6,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,15.2,Unbleached Pulp,50,YM + 0.05 M citrate buffer + supplements,6,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,6.1,Primary Sludge,25,YM + 0.05 M citrate buffer + supplements,6,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,20.7,Primary Sludge,50,YM + 0.05 M citrate buffer + supplements,24,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,13.6,Unbleached Pulp,25,YM + 0.05 M citrate buffer + supplements,24,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.3,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,16.5,Unbleached Pulp,50,YM + 0.05 M citrate buffer + supplements,6,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.3,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,6.9,Primary Sludge,25,YM + 0.05 M citrate buffer + supplements,6,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,15.1,Primary Sludge,50,YM + 0.05 M citrate buffer + supplements,24,Batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,23.0,Unbleached Pulp,100,YM + 0.05 M citrate buffer + supplements,72,Fed-batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,45.6,Unbleached Pulp,200,YM + 0.05 M citrate buffer + supplements,72,Fed-batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,20.9,Primary Sludge,100,YM + 0.05 M citrate buffer + supplements,78,Fed-batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,40.7,Primary Sludge,200,YM + 0.05 M citrate buffer + supplements,78,Fed-batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,55.3,Unbleached Pulp,200,YM + 0.05 M citrate buffer + supplements,79,Fed-batch,Saccharomyces cerevisiae ATCC 26602,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~4.4,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,40.7,Primary Sludge,200,YM + 0.05 M citrate buffer + supplements,79,Fed-batch,Saccharomyces cerevisiae ATCC 26602,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~4.4,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,23.0,Unbleached Pulp,100,YM + 0.05 M citrate buffer + supplements,54,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~4.4,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,23.0,Unbleached Pulp,200,YM + 0.05 M citrate buffer + supplements,6,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~4.4,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,18.1,Primary Sludge,100,YM + 0.05 M citrate buffer + supplements,75,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,24.2,Primary Sludge,200,YM + 0.05 M citrate buffer + supplements,78,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,38,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,20.4,Unbleached Pulp,200,YM + 0.05 M citrate buffer + supplements,72,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~4.4,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,25.6,Unbleached Pulp,200,YM + 0.05 M citrate buffer + supplements,48,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~4.4,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,13.6,Primary Sludge,200,YM + 0.05 M citrate buffer + supplements,78,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,42,NA,NA,
,10.1080/09593330.2016.1235230,Ethanol,30.4,Primary Sludge,200,YM + 0.05 M citrate buffer + supplements,168,Fed-batch,Kluyveromyces marxianus NCYC 1426,NA,NA,NA,NA,NA,NA,NA,100,Shake flask,YM + 0.05 M citrate buffer + supplements,Sufficient,Sufficient,~5.8,42,NA,NA,
