,article doi,product,product concentration,carbon source,carbon source concentration,yield,media,time,mode of bioreactor operation,strain name,parent strain,knocked out genes,overexpressed native genes,heterologous genes,Promotor,genome integration Y/N,codon optimized,culture volume,culture vessel,nitrogen condition,oxygen condition,pH,temperature,Direct evolution Y/N
1,-------------------,----------------,-----------------------,-----------------------,------------------------------,-------------------,---------------------------------------,------,------------------------------,-------------------------------,---------------,-------------------,-----------------------------,--------------------,----------,-----------------------,-----------------,----------------,----------------,--------------------,------------------,-----,-------------,----------------------
1,10.2166/wst.2019.226,Residual sugar,0.496 g-sugar/g-algae-DW,Sugar from microalgae,8 g/L,0.496 g/g,Hydrolyzed sugar from microalgae biomass,24 h,Batch,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,200 mL,Shake flask,Sufficient,Sufficient,5.5,30°C,NA
1,10.2166/wst.2019.226,Residual sugar,0.496 g-sugar/g-algae-DW,Sugar from microalgae,8 g/L,0.496 g/g,Hydrolyzed sugar from microalgae biomass,24 h,Batch,Saccharomyces cerevisiae chardonnay,NA,NA,NA,NA,NA,NA,NA,200 mL,Shake flask,Sufficient,Sufficient,5.5,30°C,NA
2,--------------------------------------------------,---------,-----------------------,-----------------------------------,---------------------------------------,-------------,----------,------,------------------------------,-----------------------,---------------,-------------------,----------------------------,--------------------,----------,------------------------,-----------------,----------------,----------------,---------------------,-------------------,-----,-------------,----------------------
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Biomass,14.46 g/L,Glucose and Yeast Extract,"30 g/L glucose, 4 g/L yeast extract",2.07 g/L/day,BM-GY,7 d,Heterotrophic batch shake flask,Old C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Lipid,6.37 g/L,Glucose and Yeast Extract,"30 g/L glucose, 4 g/L yeast extract",0.91 g/L/day,BM-GY,7 d,Heterotrophic batch shake flask,Old C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Biomass,14.83 g/L,Brewer Fermentation Waste and Crude Glycerol,Equivalent to 30 g/L TOC and 0.6 g/L TN,2.12 g/L/day,Mixed Waste,7 d,Heterotrophic batch shake flask,Old C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Lipid,6.60 g/L,Brewer Fermentation Waste and Crude Glycerol,Equivalent to 30 g/L TOC and 0.6 g/L TN,0.94 g/L/day,Mixed Waste,7 d,Heterotrophic batch shake flask,Old C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Biomass,11.43 g/L,Glucose and Yeast Extract,"30 g/L glucose, 4 g/L yeast extract",1.61 g/L/day,BM-GY,7 d,Heterotrophic batch shake flask,New C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Lipid,6.02 g/L,Glucose and Yeast Extract,"30 g/L glucose, 4 g/L yeast extract",0.82 g/L/day,BM-GY,7 d,Heterotrophic batch shake flask,New C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Biomass,12.73 g/L,Brewer Fermentation Waste and Crude Glycerol,Equivalent to 30 g/L TOC and 0.6 g/L TN,1.81 g/L/day,Mixed Waste,7 d,Heterotrophic batch shake flask,New C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,http://dx.doi.org/10.1016/j.biortech.2014.03.120,Lipid,6.62 g/L,Brewer Fermentation Waste and Crude Glycerol,Equivalent to 30 g/L TOC and 0.6 g/L TN,0.95 g/L/day,Mixed Waste,7 d,Heterotrophic batch shake flask,New C. protothecoides,NA,NA,NA,NA,NA,NA,NA,200 ml,Shake flask,Sufficient,Sufficient,6.8,28°C,NA
2,article doi,product,product concentration,Carbon source,Carbon source concentration,yield,media,time,mode of bioreactor operation,strain name,parent strain,knocked out genes,overexpressed native genes,heterologous genes,Promotor,genome integration Y/N,codon optimized,culture volume,culture vessel,nitrogen condition,oxygen condition,pH,temperature,Direct evolution Y/N
3,------------------------------------------------,----------,-----------------------,---------------------,------------------------------,-------,-----------------------------,------,-----------------------------,---------------------------------,---------------,-------------------,---------------------------,--------------------,----------,------------------------,-----------------,----------------,---------------------,---------------------,-------------------,-----,-------------,----------------------
3,http://dx.doi.org/10.1016/j.biortech.2015.12.064,Glucose,4.19 g/L,Sugarcane Bagasse,3% w/w dry basis,36%,Sodium citrate buffer,24h,Shake flask,Myceliophthora thermophila JCP 1-4,NA,NA,NA,NA,NA,NA,NA,250 mL,Shake flask,Sufficient,Sufficient,5,50°C,NA
3,http://dx.doi.org/10.1016/j.biortech.2015.12.064,Glucose,3.50 g/L,Sugarcane Bagasse,3% w/w dry basis,NA,NA,24h,Shake flask,Commercial enzymes mixture,NA,NA,NA,NA,NA,NA,NA,NA,Shake flask,NA,NA,NA,50°C,NA
